Simulation,Mean,Std
257,0.35624866271460376,0.055507766697448974
258,0.3558390606161135,0.05497108369733553
259,0.35556340503613987,0.0552569868889234
260,0.3562081546085549,0.0552610922645877
261,0.35511654370985024,0.05478459854637825
262,0.3563754841639714,0.055479200994038844
263,0.35744761976648015,0.055327295688596734
264,0.35520286687207997,0.055624646817688646
265,0.35601108938203224,0.05533755173812191
266,0.356107487782644,0.054970499076635704
267,0.35665257063060796,0.055322834218278084
268,0.35501709816709653,0.05541014229601024
269,0.3563647398841246,0.054833447543203254
270,0.35546271413130026,0.05502341848153637
271,0.3563681663307022,0.05541643956588516
272,0.35590124910350013,0.05559285744943609
273,0.35553098595043164,0.054777743171154775
274,0.3558245916835775,0.054225848899119126
275,0.3548731294842961,0.05553115868072239
276,0.3565850474238466,0.05528921174996046
277,0.35536793650008724,0.05520410646212445
278,0.3557554629884932,0.055395308452754415
279,0.3547266347403436,0.05489737414942288
280,0.355532880321467,0.05535160604006569
281,0.3547855667624989,0.055228722344440026
282,0.35577861463542715,0.05606503856102394
283,0.35652466585140385,0.05484607028484568
284,0.3570049520935493,0.05539099510749837
285,0.35613073009031987,0.05489369209703593
286,0.3552137121535218,0.05554727355431908
287,0.35727433562333405,0.05542430411724599
288,0.3557649041473163,0.05561170248846683
289,0.3551975630820954,0.05550126511752139
290,0.35562235848050067,0.055270107862284874
291,0.35528227067000645,0.055046762812688124
292,0.3564659943956671,0.05483313751682414
293,0.3570933910323822,0.05553186338211846
294,0.3566312714639074,0.054974330309902154
295,0.35568595705887357,0.05479923243308011
296,0.356208426816901,0.05504888030609163
297,0.35563964506833284,0.05542110195273846
298,0.3551789405638505,0.05478915737568194
299,0.3550822672813068,0.05531737534105105
300,0.3561867337977624,0.055064714433449645
301,0.3568400795899225,0.05456730635708114
302,0.3566856058213009,0.055785735352783763
303,0.35631987410495325,0.05550674067055356
304,0.35685299530037357,0.05513977649570516
305,0.35589988983372417,0.05467005692220266
306,0.3560036112184204,0.05507715327661625
307,0.35631690988391096,0.05561257031833357
308,0.3554314363420724,0.0544472373601674
309,0.3558261036239883,0.05594423604021964
310,0.35680639178377577,0.055321938581820426
311,0.35585428779461226,0.05547049034902553
312,0.3554519227969375,0.05531698281350793
313,0.35619971499982167,0.05490112762345839
314,0.35500892134768747,0.055511021879886886
315,0.3553635087626685,0.05497473481806271
316,0.35477157634896783,0.05471442207883876
317,0.35579610640379933,0.05557124984163034
318,0.35636733054416886,0.05563431483147534
319,0.3557640724924961,0.05505951886351222
320,0.3551347429890858,0.05609055698887095
321,0.3550542930434378,0.054937501667991544
322,0.3559804059504929,0.05522420988454476
323,0.35574873188857803,0.05472504224910291
324,0.356459125017072,0.055313785609983776
325,0.35541152616684013,0.05535199996290684
326,0.35629191111825026,0.05544465043768924
327,0.356050389674064,0.05573294339036547
328,0.3543880592765473,0.05425987032212696
329,0.35539694089265866,0.0549025095110132
330,0.35626523769672913,0.05506053903106664
331,0.35609830396615705,0.05482000138987035
