Country,HDI_2023,Life_Expectancy,Expected_Schooling,Mean_Schooling,GNI_per_Capita,Year,ISO3,CO2_per_capita,Innovation_Score_Mean,Innovation_Best_Rank,generation_twh,generation_share_pct,generation_kwh_per_capita
Dominican Republic,0.776,73.72,13.61692047,9.444525756,22023.51059,2023,DOM,2.8089135,26.77502978130917,10.0,,,
Guyana,0.776,70.18,13.02205765,8.702429672,46959.25173,2023,GUY,5.2990813,,,,,
Sri Lanka,0.776,77.483,13.12815666,10.77000046,12615.60045,2023,LKA,0.8343349,28.41421941056916,24.0,,,
Tonga,0.769,72.895,17.78693018,10.91494895,7438.210092,2023,TON,1.3943583,,,,,
Maldives,0.766,81.041,12.76840687,7.410372866,19317.31882,2023,MDV,4.1925783,,,,,
Viet Nam,0.766,74.588,15.45771503,8.979999542,13032.63533,2023,,,29.658554283537043,27.0,,,
Turkmenistan,0.764,70.073,13.24057961,11.20780193,17715.58167,2023,TKM,12.956967,,,,,
Algeria,0.763,76.261,15.4951601,7.416386987,15114.17175,2023,DZA,4.394023,22.863402162152187,15.0,,,
Cuba,0.762,78.085,13.87884045,10.63148903,8415.411708,2023,CUB,2.1298018,,,,,
Dominica,0.761,71.132,14.15099967,10.12508965,16001.12551,2023,DMA,2.4730878,,,,,
Paraguay,0.756,73.844,13.98706964,8.930653385,15252.22016,2023,PRY,1.1171128,30.08390691830324,2.0,,,
Egypt,0.754,71.633,13.12716193,10.13611962,16218.13521,2023,EGY,2.1847339,24.48924147382745,41.0,,,
Jordan,0.754,77.814,13.1090498,10.23999977,9221.872358,2023,JOR,2.0210526,30.17153823794301,14.0,,,
Lebanon,0.752,77.817,11.68299961,10.36999989,11298.88724,2023,LBN,2.694868,29.858728711230377,1.0,,,
Saint Lucia,0.748,72.697,12.73040962,8.614167055,20899.78193,2023,LCA,2.8838367,,,,,
Mongolia,0.747,71.734,13.6376543,9.420000076,14787.08237,2023,MNG,12.874261,38.41563190974339,3.0,,,
Tunisia,0.746,76.508,14.67349856,7.594920158,12011.38785,2023,TUN,2.6013684,31.791712530322872,2.0,,,
South Africa,0.741,66.139,13.79325008,11.60999966,13693.98858,2023,ZAF,6.9069405,28.233945100663085,18.0,,,
Uzbekistan,0.74,72.388,12.46086979,11.90999985,8825.730893,2023,UZB,3.446397,23.964180100591157,14.0,,,
Bolivia (Plurinational State of),0.733,68.581,15.61065006,10.02122319,9445.244868,2023,,,25.346641881588702,1.0,,,
Gabon,0.733,68.337,12.48275889,9.686,18854.06151,2023,GAB,2.1414058,,,,,
Marshall Islands,0.733,66.945,16.38606071,11.6366644,7223.860831,2023,MHL,3.802466,,,,,
Botswana,0.731,69.163,11.42568016,10.478,16983.77103,2023,BWA,2.9225686,26.42593871103362,9.0,,,
Fiji,0.731,67.316,13.84869,10.37096977,12843.15889,2023,FJI,1.4955322,,,,,
Indonesia,0.728,71.146,13.33577728,8.6972232,13700.12989,2023,IDN,2.7111824,28.46961579729248,17.0,,,
Suriname,0.722,73.631,10.95909977,8.429759582,17344.38691,2023,SUR,4.561335,,,,,
Belize,0.721,73.566,11.98379993,8.762290001,12343.07814,2023,BLZ,1.8643363,,,,,
Libya,0.721,69.339,12.92465677,7.77860643,19831.43236,2023,LBY,8.79032,,,,,
Jamaica,0.72,71.479,12.3833955,9.959910393,10056.98531,2023,JAM,2.8413825,25.93497536060084,13.0,,,
Kyrgyzstan,0.72,71.677,12.71388245,12.06588858,6078.117589,2023,KGZ,1.5755129,29.72732204555704,5.0,,,
Philippines,0.72,69.833,12.81904666,9.977239609,10731.20422,2023,PHL,1.4011557,35.24300757078117,1.0,,,
Morocco,0.71,75.313,15.07499027,6.198,8652.880859,2023,MAR,1.8286018,31.729753253157178,6.0,,,
Venezuela (Bolivarian Republic of),0.709,72.514,12.96537654,9.678385373,7157.08,2023,,,5.586215338739112,49.0,,,
Samoa,0.708,71.698,12.4364,11.33298361,5952.016925,2023,WSM,1.0838683,,,,,
Nicaragua,0.706,74.947,11.51021957,9.933019638,6881.479609,2023,NIC,0.79551613,21.608764509614115,15.0,,,
Nauru,0.703,62.109,12.84263763,9.448637676,19642.3777,2023,NRU,4.933193,,,,,
Medium human development,,,,,,2023,,,,,,,
Bhutan,0.698,72.975,13.15274184,5.835794662,13842.80353,2023,BTN,2.0723257,,,,,
Eswatini (Kingdom of),0.695,64.123,15.24604391,8.685199738,9919.08523,2023,,,,,,,
Iraq,0.695,72.324,12.35940135,6.780046287,12653.52469,2023,IRQ,5.056339,,,,,
Tajikistan,0.691,71.79,10.84980801,11.27094825,5746.568969,2023,TJK,0.98791873,18.597830891705986,5.0,,,
Tuvalu,0.689,67.105,12.37506862,10.76746107,7005.520781,2023,TUV,1.1121277,,,,,
Bangladesh,0.685,74.672,12.31016827,6.789999962,8497.658639,2023,BGD,0.60960233,17.951334292367694,11.0,,,
India,0.685,72.003,12.95454025,6.880000114,9046.756336,2023,IND,2.1297693,34.88098714591669,1.0,,,
El Salvador,0.678,72.099,11.11291027,7.300000191,10594.84201,2023,SLV,1.3740716,24.85421051134651,15.0,,,
Equatorial Guinea,0.674,63.707,12.49119511,8.281327014,12762.46845,2023,GNQ,3.7418964,,,,,
"Palestine, State of",0.674,65.17,12.99800968,10.13000011,6547.098635,2023,,,,,,,
Cabo Verde,0.668,76.059,11.36709717,6.09003905,8165.379172,2023,,,25.544225962798944,28.0,,,
Namibia,0.665,67.385,11.78505588,7.273146745,10916.60872,2023,NAM,1.1618446,29.07929222854319,10.0,,,
Guatemala,0.662,72.602,10.67763042,5.847300053,12458.604,2023,GTM,1.088896,20.969394221253683,18.0,,,
Congo,0.649,65.772,12.68194711,8.322644792,5902.599066,2023,COG,1.3382533,15.541172362914605,56.0,,,
Honduras,0.645,72.884,10.16220647,7.510229074,6064.785783,2023,HND,1.1652912,23.64869927462875,37.0,,,
Kiribati,0.644,66.473,11.87390648,9.128581569,4947.280426,2023,KIR,0.52276295,,,,,
Sao Tome and Principe,0.637,69.718,12.8567099,5.987559175,5583.423335,2023,STP,0.6056687,,,,,
Timor-Leste,0.634,67.689,13.25306303,6.226580551,5434.594692,2023,,,,,,,
Ghana,0.628,65.498,11.41845989,7.107210159,6846.352204,2023,GHA,0.5959423,20.4494568840075,9.0,,,
Kenya,0.628,63.646,11.47407573,8.624710083,5608.296066,2023,KEN,0.38283524,18.24554357065116,19.0,,,
Nepal,0.622,70.354,13.75430393,4.50372982,4725.930613,2023,NPL,0.61788374,27.501053566922028,1.0,,,
Vanuatu,0.621,71.477,11.81160992,7.183209727,3403.690193,2023,VUT,0.5881556,,,,,
Lao People's Democratic Republic,0.617,68.964,9.605483055,6.06024616,8106.153218,2023,,,22.8619945619398,11.0,,,
Angola,0.616,64.617,12.1676,5.956173009,6631.276544,2023,AGO,0.5897924,13.310666511817429,47.0,,,
Micronesia (Federated States of),0.615,67.198,11.54008512,7.33252398,4245.878243,2023,,,,,,,
Myanmar,0.609,66.889,11.50456047,6.380000114,4918.810577,2023,MMR,0.5873035,23.683357107769183,19.0,,,
Cambodia,0.606,70.668,11.19789219,5.197100163,4931.016842,2023,KHM,1.2288593,25.564102610050533,1.0,,,
Comoros,0.603,66.777,13.29446063,6.006840229,3481.12144,2023,COM,0.6375075,,,,,
Zimbabwe,0.598,62.775,11.05745312,8.930847216,3511.463215,2023,ZWE,0.8226813,14.371650102633415,44.0,,,
Zambia,0.595,66.349,11.02052892,7.397408543,3446.675821,2023,ZMB,0.5708717,22.011281664306424,8.0,,,
Cameroon,0.588,63.7,10.79187965,6.574180412,4746.26582,2023,CMR,0.34169704,21.938127224735624,17.0,,,
Solomon Islands,0.584,70.528,11.31304207,5.8796802,2777.266749,2023,SLB,0.35219383,,,,,
Côte d'Ivoire,0.582,61.944,11.41112995,4.869999886,6735.416265,2023,,,22.23726219327533,70.0,,,
Uganda,0.582,68.252,11.56404819,6.323663082,2736.410021,2023,UGA,0.12816063,14.83372762886775,25.0,,,
Rwanda,0.578,67.785,12.59045029,4.880000114,2970.559461,2023,RWA,0.14447089,22.286747036952143,26.0,,,
Papua New Guinea,0.576,66.134,11.51107187,4.962531078,3970.647707,2023,PNG,0.8044313,,,,,
Togo,0.571,62.739,13.09642387,5.861114619,2855.963828,2023,TGO,0.3247885,23.01736620507066,4.0,,,
Syrian Arab Republic,0.564,72.12,7.418754527,5.935520062,3917.702385,2023,,,,,,,
Mauritania,0.563,68.484,7.949540636,4.852025862,6267.470808,2023,MRT,1.0028783,19.776862355727403,9.0,,,
Nigeria,0.56,54.462,10.51407,7.585969925,5569.374975,2023,NGA,0.5677305,16.92803976801185,8.0,,,
Tanzania (United Republic of),0.555,66.995,8.585740089,6.065350056,3514.632861,2023,,,,,,,
Haiti,0.554,64.936,10.89635878,5.3822999,2934.925802,2023,HTI,0.24616757,,,,,
Lesotho,0.55,57.375,10.98659352,7.729883486,3029.3857,2023,LSO,1.0788054,13.594640341914724,85.0,,,
Low human development,,,,,,2023,,,,,,,
Pakistan,0.544,67.649,7.89510849,4.316987038,5501.132932,2023,PAK,0.7549797,17.279310115424682,18.0,,,
Senegal,0.53,68.683,9.142709732,2.934554012,4202.030729,2023,SEN,0.77896833,27.43366096126777,8.0,,,
Gambia,0.524,65.86,8.977899686,4.674727154,2812.017602,2023,GMB,0.2863896,,,,,
Congo (Democratic Republic of the),0.522,61.895,10.91147386,7.378561086,1431.047931,2023,,,,,,,
